Date,timestamp,open,high,low,close,volume,Signal,quote_av,trades,tb_base_av,tb_quote_av
2023/3/5,2023-03-05 02:00:00+00:00,22591.14,22612.84,22189.22,22360.82,16198.56489,44850.67718,362843361.8,416246,7738.851,173345441.1
2023/3/5,2023-03-05 03:00:00+00:00,22360.82,22441.05,22356.5,22387.02,7129.15803,44287.02002,159722361.7,234164,3572.86095,80046816.63
2023/3/5,2023-03-05 04:00:00+00:00,22387.02,22470.93,22378.18,22440.73,6705.11842,45339.46346,150438166.2,209288,3431.77654,76994677.08
2023/3/5,2023-03-05 05:00:00+00:00,22440.73,22446.56,22391.18,22418.99,3884.5023,45243.07337,87092439.56,136123,1883.88587,42238591.38
2023/3/5,2023-03-05 06:00:00+00:00,22419.32,22427,22401.54,22415.73,3596.06691,46072.1958,80604641.99,136327,1801.31301,40377204.82
2023/3/5,2023-03-05 07:00:00+00:00,22415.76,22421.21,22365.26,22375.7,5114.22735,46463.48193,114483468.7,172494,2490.36342,55748393.36
2023/3/5,2023-03-05 08:00:00+00:00,22375.7,22399.45,22328,22342.71,5206.97415,47079.07663,116439998.9,166078,2538.69023,56773533.15
2023/3/5,2023-03-05 09:00:00+00:00,22342.09,22398.28,22316.63,22368.47,5240.4889,47773.63811,117214201.8,175266,2732.60553,61122186.16
2023/3/5,2023-03-05 10:00:00+00:00,22369.14,22448.8,22363.27,22410.83,5446.74669,47371.54802,122017803.1,178472,2805.33468,62845006.44
2023/3/5,2023-03-05 11:00:00+00:00,22410.83,22422.54,22381,22389.77,4195.79843,47023.85674,94002022.54,143929,2026.98065,45413363.36
2023/3/5,2023-03-05 12:00:00+00:00,22390.12,22444,22388.57,22420.34,4665.11241,47312.33667,104528867.7,166548,2382.98251,53395619.79
2023/3/5,2023-03-05 13:00:00+00:00,22419.89,22494.96,22418.02,22465.77,7748.08011,47656.16008,173934613.3,222761,3930.35773,88233473.15
2023/3/5,2023-03-05 14:00:00+00:00,22465.77,22478.87,22417.01,22432.46,5437.93651,48398.13494,122053848.5,184587,2610.50474,58594733.73
2023/3/5,2023-03-05 15:00:00+00:00,22431.75,22470.7,22421.5,22436.18,4576.90893,49302.28809,102728673.9,152544,2380.42233,53431167.04
2023/3/5,2023-03-05 16:00:00+00:00,22436.7,22460.07,22421.28,22442.92,4436.7045,49619.23982,99551446.66,156935,2278.14744,51119778
2023/3/5,2023-03-05 17:00:00+00:00,22442.92,22455,22419.82,22427.47,3280.75121,50006.54474,73616601.38,125691,1566.37268,35149086.23
2023/3/5,2023-03-05 18:00:00+00:00,22427.47,22449.51,22422.02,22429.26,3058.34398,50418.44046,68612044.79,122102,1581.8353,35488217.75
2023/3/5,2023-03-05 19:00:00+00:00,22428.98,22450,22374.6,22403.45,5493.7921,50291.585,123108258.5,178684,2679.58278,60047516.09
2023/3/5,2023-03-05 20:00:00+00:00,22403.45,22425,22395.8,22409.05,3495.35861,50332.2634,78324939.63,125619,1750.97283,39237802.36
2023/3/5,2023-03-05 21:00:00+00:00,22408.58,22560,22331,22483.46,11941.94716,50019.82,268093156.6,310809,6033.55845,135466959.8
2023/3/5,2023-03-05 22:00:00+00:00,22483.46,22486.86,22380,22433,5630.39284,49132.61576,126282042.4,194083,2720.60318,61018554.25
2023/3/5,2023-03-05 23:00:00+00:00,22432.48,22462.22,22361.75,22430.24,7863.82678,48723.54238,176241899.5,252136,3930.00604,88080301.67
2023/3/6,2023-03-06 00:00:00+00:00,22430.24,22470.08,22361.43,22446.48,6995.2835,48936.48094,156925140.5,230228,3576.39296,80232658.16
2023/3/6,2023-03-06 01:00:00+00:00,22446.48,22508,22322.34,22379.24,13476.08464,48757.82885,302044021.7,377318,6652.11499,149110362.4
2023/3/6,2023-03-06 02:00:00+00:00,22378.49,22405.94,22258,22391.58,13345.40628,47779.76879,298328298.9,388020,6709.2667,149989806.8
2023/3/6,2023-03-06 03:00:00+00:00,22391.12,22417.29,22368.35,22387.19,4454.02779,48230.53295,99731215.52,184142,2246.85097,50311909.19
2023/3/6,2023-03-06 04:00:00+00:00,22387.19,22399.6,22334.06,22342.63,5464.70816,48456.4251,122212252.1,202665,2668.0601,59670520.35
2023/3/6,2023-03-06 05:00:00+00:00,22342.63,22372.32,22313.94,22370.18,5278.67525,48463.42399,117971813.1,199322,2663.06277,59519107.67
2023/3/6,2023-03-06 06:00:00+00:00,22369.79,22436,22364.8,22405.93,4976.03351,47973.39406,111458075.2,189796,2604.29981,58333904.99
2023/3/6,2023-03-06 07:00:00+00:00,22406.59,22434,22385.12,22392.74,5121.62517,49316.41842,114763527,188693,2562.08481,57411174.24
2023/3/6,2023-03-06 08:00:00+00:00,22392.74,22450,22356.08,22413.23,8219.82713,49985.17734,184149748,248070,4315.71442,96691244.55
2023/3/6,2023-03-06 09:00:00+00:00,22413.23,22421.3,22364.07,22403.68,6645.55743,50169.81262,148844904.8,223939,3233.22555,72417833.19
2023/3/6,2023-03-06 10:00:00+00:00,22403.09,22414,22371,22399.78,6252.80739,49822.66046,140020170,235401,3136.08754,70229330.5
2023/3/6,2023-03-06 11:00:00+00:00,22399.78,22402.63,22355,22379.57,7025.94946,49978.49657,157261615.5,237377,3461.39445,77477299.41
2023/3/6,2023-03-06 12:00:00+00:00,22379.95,22413.54,22357.08,22397.42,6275.93365,49896.74963,140509388.1,233869,3230.09215,72319434.51
2023/3/6,2023-03-06 13:00:00+00:00,22397.72,22487.99,22387.01,22439.77,10229.51494,50931.36141,229407939,312477,5220.76324,117083296.4
2023/3/6,2023-03-06 14:00:00+00:00,22440.32,22483.92,22403.2,22450,11368.76483,52702.334,255038689.2,350814,5812.48011,130396770
2023/3/6,2023-03-06 15:00:00+00:00,22449.46,22602.19,22432.07,22553.42,16288.43096,53805.13896,366514753.7,451166,8344.79917,187778610.3
2023/3/6,2023-03-06 16:00:00+00:00,22554.43,22586.98,22465.6,22524.46,13401.27685,55656.99115,301902061.6,365680,6673.25568,150335657
2023/3/6,2023-03-06 17:00:00+00:00,22524.46,22536.07,22470.89,22481.63,7812.16565,56951.63996,175814220.5,252552,3759.17451,84602848.44
2023/3/6,2023-03-06 18:00:00+00:00,22481.63,22539.68,22465,22504.09,8130.25619,57060.34871,182977777.2,262128,4068.89779,91575741.63
2023/3/6,2023-03-06 19:00:00+00:00,22504.08,22512.72,22358,22393.35,15939.35736,56456.51425,357304654.7,405275,7666.84607,171867030.3
2023/3/6,2023-03-06 20:00:00+00:00,22393.35,22416.41,22331,22352.17,9704.53262,53608.90263,217234277.7,310863,4654.29452,104191656.4
2023/3/6,2023-03-06 21:00:00+00:00,22352.17,22439.99,22320.01,22408.53,6259.16469,52448.80506,140078881.2,214361,3236.51249,72435147.75
2023/3/6,2023-03-06 22:00:00+00:00,22408.53,22450,22407.08,22433.65,4722.66921,51810.18509,105922397.6,182362,2480.12567,55626031.74
2023/3/6,2023-03-06 23:00:00+00:00,22433.65,22446.09,22390.07,22410,6363.77691,52092.24233,142686346.3,224760,3134.46657,70281824.34
2023/3/7,2023-03-07 00:00:00+00:00,22409.41,22428,22377.69,22415.92,6254.62047,52651.08122,140143794,237103,3184.18243,71347950.13
2023/3/7,2023-03-07 01:00:00+00:00,22415.54,22508.88,22411.8,22484.8,8865.01381,52138.36869,199145620.1,274303,4747.27036,106643607.3
2023/3/7,2023-03-07 02:00:00+00:00,22484.8,22509.99,22452.48,22497.86,5734.12894,52468.09524,128915741.7,197877,2906.0765,65336960.02
2023/3/7,2023-03-07 03:00:00+00:00,22497.87,22557.91,22445.22,22460.54,7212.57315,52938.24373,162187991.9,227274,3564.35906,80157565.78
2023/3/7,2023-03-07 04:00:00+00:00,22460.99,22479.8,22453.98,22474.36,4032.26352,53413.7261,90582142.55,136812,2111.38676,47431532.27
2023/3/7,2023-03-07 05:00:00+00:00,22474.36,22479.85,22443.73,22460.67,4659.12544,53511.9762,104667017.6,157703,2268.943,50972260.52
2023/3/7,2023-03-07 06:00:00+00:00,22460.09,22461.31,22408.09,22438.52,6458.64388,53819.64137,144920044.2,201561,3364.51907,75491442.02
2023/3/7,2023-03-07 07:00:00+00:00,22438.07,22453.9,22410.24,22419.71,5882.30757,53949.3711,131943867.8,184297,2881.44998,64634102.43
2023/3/7,2023-03-07 08:00:00+00:00,22420.29,22426.65,22395.05,22420.18,6693.99498,53763.69374,150022716.1,194176,3262.11671,73110662.2
2023/3/7,2023-03-07 09:00:00+00:00,22420.53,22426.17,22345.49,22381.17,10907.2766,53444.01736,244201379.3,275756,5200.6573,116438799
2023/3/7,2023-03-07 10:00:00+00:00,22381.17,22432.6,22367.3,22372.85,8537.41518,52362.14715,191206807.8,237359,4222.58191,94574600.66
2023/3/7,2023-03-07 11:00:00+00:00,22372.85,22398.11,22321,22351.02,9399.6095,51995.21479,210283764.9,258697,4569.09624,102222393.8
2023/3/7,2023-03-07 12:00:00+00:00,22351.02,22410.2,22335.36,22399.07,8470.94616,51836.57855,189549523,249439,4432.34033,99181730.04
2023/3/7,2023-03-07 13:00:00+00:00,22399.07,22410,22354.1,22363.89,8071.28679,51591.93148,180701768.8,244773,3985.56404,89231528.7
2023/3/7,2023-03-07 14:00:00+00:00,22363.53,22383.58,22200.32,22309.18,21090.97003,52018.13407,470763854.3,506415,10400.52483,232166180.2
2023/3/7,2023-03-07 15:00:00+00:00,22309.18,22489.88,21927,22320.9,59648.47568,52797.6305,1324882983,1232503,29529.4858,656003857.5
2023/3/7,2023-03-07 16:00:00+00:00,22321.98,22394.08,22192.84,22238.77,21822.97104,51022.16469,486421506.7,577856,10731.91627,239212141.2
2023/3/7,2023-03-07 17:00:00+00:00,22238.77,22360,22224.96,22309.28,15164.53002,53436.71996,338222353.5,446306,7702.86444,171804258.6
2023/3/7,2023-03-07 18:00:00+00:00,22308.25,22331.49,22160.64,22199.96,13467.03162,52943.06435,299634692.1,384483,6562.92999,146024969
2023/3/7,2023-03-07 19:00:00+00:00,22198.49,22249.98,22054.92,22124.77,11681.7156,52498.83828,259187269.9,339055,5824.7888,129238437
2023/3/7,2023-03-07 20:00:00+00:00,22125.99,22145.29,21996,22054.51,19088.27298,53518.93792,421353784.2,424115,9250.8143,204215384.5
2023/3/7,2023-03-07 21:00:00+00:00,22055.64,22116.66,21943,22056.26,12708.13147,51320.60801,280056004.9,334598,6284.0444,138490378.9
2023/3/7,2023-03-07 22:00:00+00:00,22055.95,22122.22,21981.64,22105.65,7923.57217,51197.84841,174825937.3,236751,4111.98648,90732429.37
2023/3/7,2023-03-07 23:00:00+00:00,22105.65,22230.51,22075.51,22197.96,8744.93252,50682.17918,193774372.3,254182,4398.74319,97473331.55
2023/3/8,2023-03-08 00:00:00+00:00,22198.56,22287,22190.32,22245.86,9321.72502,47889.8892,207288657.9,302122,4593.90393,102159270.5
2023/3/8,2023-03-08 01:00:00+00:00,22245.86,22256.66,22136.84,22173.7,7768.1963,47910.65369,172512275.8,263864,3932.62841,87330595.62
2023/3/8,2023-03-08 02:00:00+00:00,22174.57,22211.3,22158.37,22177,5678.44763,49031.75414,125979122,217289,2871.16345,63699453.78
2023/3/8,2023-03-08 03:00:00+00:00,22177,22191.73,22084.3,22152.52,7387.15207,49964.16787,163543919.1,237974,3631.06788,80387587.48
2023/3/8,2023-03-08 04:00:00+00:00,22152.52,22167.73,22105.18,22141.79,5712.12814,50441.63698,126447522.8,191504,2878.50424,63721595.6
2023/3/8,2023-03-08 05:00:00+00:00,22141.79,22147.73,21840.13,21954.98,19927.47105,51584.48594,438369819.6,461036,9633.24942,211922461
2023/3/8,2023-03-08 06:00:00+00:00,21954.31,22051.62,21930.2,22025.63,12447.40555,49686.23073,273814550.1,310014,6289.59451,138361965.5
2023/3/8,2023-03-08 07:00:00+00:00,22025.63,22039.15,21961.17,21971.03,8984.56836,49776.33178,197716134.6,244970,4378.64556,96360346.52
2023/3/8,2023-03-08 08:00:00+00:00,21971.83,22034.16,21944.55,21989.14,10047.60801,51077.32381,220955579.7,283107,5187.21068,114075633
